GO_0003674|molecular_function
GO_0061575|cyclin-dependent protein serine/threonine kinase activator activity
GO_0030908|protein splicing
GO_0048065|male courtship behavior, veined wing extension
GO_0044091|membrane biogenesis
GO_0044743|protein transmembrane import into intracellular organelle
GO_0032446|protein modification by small protein conjugation
GO_0043687|post-translational protein modification
GO_0018393|internal peptidyl-lysine acetylation
GO_0090545|CHD-type complex
GO_0070847|core mediator complex
GO_0050421|nitrite reductase (NO-forming) activity
GO_0051213|dioxygenase activity
GO_0050206|oximinotransferase activity
GO_0070004|cysteine-type exopeptidase activity
GO_0042218|1-aminocyclopropane-1-carboxylate biosynthetic process
GO_0051003|ligase activity, forming nitrogen-metal bonds, forming coordination complexes
GO_0099528|G protein-coupled neurotransmitter receptor activity
GO_0061696|pituitary gonadotropin complex
GO_0019783|ubiquitin-like protein peptidase activity
GO_0019789|SUMO transferase activity
GO_0034707|chloride channel complex
GO_0036454|growth factor complex
GO_0047068|N5,N10-methenyltetrahydromethanopterin hydrogenase activity
GO_0019788|NEDD8 transferase activity
GO_2000142|regulation of DNA-templated transcription initiation
GO_0046353|aminoglycoside 3-N-acetyltransferase activity
GO_0032924|activin receptor signaling pathway
GO_0048185|activin binding
GO_0070259|tyrosyl-DNA phosphodiesterase activity
GO_0090092|regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO_1903844|regulation of cellular response to transforming growth factor beta stimulus
GO_0033549|MAP kinase phosphatase activity
GO_0044547|DNA topoisomerase binding
GO_0045471|response to ethanol
GO_0051424|corticotropin-releasing hormone binding
GO_0090571|RNA polymerase II transcription repressor complex
GO_0045898|regulation of RNA polymerase II transcription preinitiation complex assembly
GO_0060633|negative regulation of transcription initiation by RNA polymerase II
GO_0019904|protein domain specific binding
GO_0031211|endoplasmic reticulum palmitoyltransferase complex
GO_0034703|cation channel complex
GO_0019905|syntaxin binding
GO_0030007|intracellular potassium ion homeostasis
GO_0046920|alpha-(1->3)-fucosyltransferase activity
GO_0120013|lipid transfer activity
GO_0046836|glycolipid transport
GO_0051861|glycolipid binding
GO_0035925|mRNA 3'-UTR AU-rich region binding
GO_0048256|flap endonuclease activity
GO_0019948|SUMO activating enzyme activity
GO_0045332|phospholipid translocation
GO_0120020|cholesterol transfer activity
GO_0140303|intramembrane lipid transporter activity
GO_0045251|electron transfer flavoprotein complex
GO_0034979|NAD-dependent protein deacetylase activity
GO_0051248|negative regulation of protein metabolic process
GO_0106413|RNA dihydrouridine synthase activity
GO_0030039|obsolete DNA unwinding factor
GO_0071526|semaphorin-plexin signaling pathway
GO_0060627|regulation of vesicle-mediated transport
GO_1903305|regulation of regulated secretory pathway
GO_0030126|COPI vesicle coat
GO_0043723|2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase activity
GO_0018202|peptidyl-histidine modification
GO_0018126|protein hydroxylation
GO_0018199|peptidyl-glutamine modification
GO_0018200|peptidyl-glutamic acid modification
GO_0018214|protein carboxylation
GO_0018194|peptidyl-alanine modification
GO_0018197|peptidyl-aspartic acid modification
GO_0018275|N-terminal peptidyl-cysteine acetylation
GO_0018201|peptidyl-glycine modification
GO_0018203|peptidyl-isoleucine modification
GO_0018206|peptidyl-methionine modification
GO_0018209|peptidyl-serine modification
GO_0030920|peptidyl-serine acetylation
GO_0018210|peptidyl-threonine modification
GO_0120257|peptidyl-threonine acetylation
GO_0018213|peptidyl-valine modification
GO_0018256|protein formylation
GO_0018321|protein glucuronylation
GO_0018198|peptidyl-cysteine modification
GO_0018207|peptidyl-phenylalanine modification
GO_0035568|N-terminal peptidyl-proline methylation
GO_0018216|peptidyl-arginine methylation
GO_0019710|obsolete peptidyl-asparagine methylation
GO_0018158|protein oxidation
GO_0018277|protein deamination
GO_0031363|N-terminal protein amino acid deamination
GO_0018211|peptidyl-tryptophan modification
GO_0018335|protein succinylation
GO_0018336|peptidyl-tyrosine hydroxylation
GO_0018149|peptide cross-linking
GO_0018215|protein phosphopantetheinylation
GO_0018394|peptidyl-lysine acetylation
GO_0018193|peptidyl-amino acid modification
GO_0018366|chiral amino acid racemization
GO_0018087|
GO_0019123|peptidyl-methionine racemization
GO_0018088|
GO_0019124|peptidyl-isoleucine racemization
GO_0018089|
GO_0019125|peptidyl-phenylalanine racemization
GO_0018090|
GO_0019126|peptidyl-serine racemization
GO_0018091|obsolete peptidyl-asparagine racemization
GO_0018092|
GO_0019128|peptidyl-tryptophan racemization
GO_0018093|
GO_0019129|peptidyl-leucine racemization
GO_0018094|protein polyglycylation
GO_0018095|protein polyglutamylation
GO_0018096|peptide cross-linking via S-(2-aminovinyl)-D-cysteine
GO_0018097|obsolete protein-chromophore linkage via peptidyl-S-4-hydroxycinnamyl-L-cysteine
GO_0018101|obsolete protein citrullination
GO_0018102|peptidyl-arginine hydroxylation to peptidyl-4-hydroxy-L-arginine
GO_0030961|peptidyl-arginine hydroxylation
GO_0018103|protein C-linked glycosylation
GO_0018104|peptidoglycan-protein cross-linking
GO_0018105|peptidyl-serine phosphorylation
GO_0018109|peptidyl-arginine phosphorylation
GO_0018195|peptidyl-arginine modification
GO_0018110|obsolete histone arginine kinase activity
GO_0018111|methionine racemase activity
GO_0018112|proline racemase activity
GO_0018113|lysine racemase activity
GO_0018114|threonine racemase activity
GO_0018115|peptidyl-S-diphytanylglycerol diether-L-cysteine biosynthetic process from peptidyl-cysteine
GO_0018116|peptidyl-lysine adenylylation
GO_0018117|protein adenylylation
GO_0018175|protein nucleotidylation
GO_0018118|obsolete peptidyl-L-cysteine glutathione disulfide biosynthetic process from peptidyl-cysteine
GO_0018119|peptidyl-cysteine S-nitrosylation
GO_0018120|obsolete peptidyl-arginine ADP-ribosylation
GO_0018121|NAD(P)-asparagine ADP-ribosyltransferase activity
GO_0018122|obsolete peptidyl-asparagine ADP-ribosylation
GO_0018123|obsolete peptidyl-cysteine ADP-ribosylation
GO_0018124|peptide cross-linking via 5'-(N6-L-lysine)-L-topaquinone
GO_0018125|peptidyl-cysteine methylation
GO_0018127|NAD(P)-serine ADP-ribosyltransferase activity
GO_0018128|obsolete peptidyl-serine cyclase activity
GO_0018129|peptidyl-oxazoline dehydrogenase activity
GO_0018131|oxazole or thiazole biosynthetic process
GO_0046484|oxazole or thiazole metabolic process
GO_0018132|peptide cross-linking via L-cysteine oxazolecarboxylic acid
GO_0018157|peptide cross-linking via an oxazole or thiazole
GO_0018133|peptide cross-linking via L-cysteine oxazolinecarboxylic acid
GO_0018134|peptide cross-linking via glycine oxazolecarboxylic acid
GO_0018135|obsolete peptidyl-cysteine cyclase activity
GO_0018136|peptidyl-thiazoline dehydrogenase activity
GO_0018137|peptide cross-linking via glycine thiazolecarboxylic acid
GO_0018138|peptide cross-linking via L-serine thiazolecarboxylic acid
GO_0018139|peptide cross-linking via L-phenylalanine thiazolecarboxylic acid
GO_0018140|peptide cross-linking via L-cysteine thiazolecarboxylic acid
GO_0018141|peptide cross-linking via L-lysine thiazolecarboxylic acid
GO_0018142|protein-DNA covalent cross-linking
GO_0018143|nucleic acid-protein covalent cross-linking
GO_0018144|RNA-protein covalent cross-linking
GO_0018145|protein-DNA covalent cross-linking via peptidyl-serine
GO_0018146|keratan sulfate biosynthetic process
GO_0042339|keratan sulfate metabolic process
GO_0018147|molybdenum incorporation via L-selenocysteinyl molybdenum bis(molybdopterin guanine dinucleotide)
GO_0050844|peptidyl-selenocysteine modification
GO_0018148|RNA-protein covalent cross-linking via peptidyl-tyrosine
GO_0018150|peptide cross-linking via 3-(3'-L-histidyl)-L-tyrosine
GO_0018151|peptide cross-linking via L-histidyl-L-tyrosine
GO_0018152|peptide cross-linking via 3'-(1'-L-histidyl)-L-tyrosine
GO_0018153|isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine
GO_0018262|isopeptide cross-linking
GO_0018154|peptide cross-linking via (2R,6R)-lanthionine
GO_0018155|peptide cross-linking via sn-(2S,6R)-lanthionine
GO_0018156|peptide cross-linking via (2S,3S,6R)-3-methyl-lanthionine
GO_0018159|peptidyl-methionine oxidation
GO_0018160|peptidyl-pyrromethane cofactor linkage
GO_0018161|dipyrrin biosynthetic process
GO_0046453|dipyrrin metabolic process
GO_0018162|peptide cross-linking via S-(2-aminovinyl)-3-methyl-D-cysteine
GO_0018163|protein-DNA covalent cross-linking via the 5'-end to peptidyl-tyrosine
GO_0045327|protein-DNA covalent cross-linking via peptidyl-tyrosine
GO_0018164|protein-DNA covalent cross-linking via peptidyl-threonine
GO_0018165|peptidyl-tyrosine uridylylation
GO_0018177|protein uridylylation
GO_0018166|obsolete C-terminal protein-tyrosinylation
GO_0018167|protein-phycoerythrobilin linkage via phycoerythrobilin-bis-L-cysteine
GO_0018168|protein-phycoerythrobilin linkage via S-phycoerythrobilin-L-cysteine
GO_0018169|ribosomal S6-glutamic acid ligase activity
GO_0070739|protein-glutamic acid ligase activity
GO_0018170|obsolete C-terminal peptidyl-polyglutamic acid amidation
GO_0018171|peptidyl-cysteine oxidation
GO_0018172|peptidyl-L-3',4',5'-trihydroxyphenylalanine biosynthetic process from peptidyl-tyrosine
GO_0018173|peptidyl-1-thioglycine biosynthetic process from peptidyl-glycine
GO_0018174|protein-heme P460 linkage
GO_0018176|
GO_0018178|peptidyl-threonine adenylylation
GO_0018179|obsolete peptidyl-cysteine desulfurization
GO_0018180|protein desulfurization
GO_0018181|obsolete peptidyl-arginine C5-methylation
GO_0018182|protein-heme linkage via 3'-L-histidine
GO_0018183|obsolete enzyme active site formation via S-selenyl-L-cysteine
GO_0018184|protein polyamination
GO_0018185|poly-N-methyl-propylamination
GO_0018186|peroxidase-heme linkage
GO_0018187|molybdenum incorporation via L-cysteinyl molybdopterin guanine dinucleotide
GO_0018188|peptidyl-proline di-hydroxylation
GO_0018189|pyrroloquinoline quinone biosynthetic process
GO_0072351|tricarboxylic acid biosynthetic process
GO_0018190|protein octanoylation
GO_0018191|peptidyl-serine octanoylation
GO_0018192|obsolete enzyme active site formation via cysteine modification to L-cysteine persulfide
GO_0018196|obsolete peptidyl-asparagine modification
GO_0018204|peptidyl-leucine modification
GO_0018217|peptidyl-aspartic acid phosphorylation
GO_0018218|peptidyl-cysteine phosphorylation
GO_0018219|peptidyl-cysteine S-acetylation
GO_0018533|peptidyl-cysteine acetylation
GO_0018220|peptidyl-threonine palmitoylation
GO_0018221|peptidyl-serine palmitoylation
GO_0018222|obsolete peptidyl-L-cysteine methyl disulfide biosynthetic process from peptidyl-cysteine
GO_0018223|
GO_0018224|
GO_0018225|
GO_0018226|peptidyl-S-farnesyl-L-cysteine biosynthetic process from peptidyl-cysteine
GO_0018343|protein farnesylation
GO_0018227|peptidyl-S-12-hydroxyfarnesyl-L-cysteine biosynthetic process from peptidyl-cysteine
GO_0018228|peptidyl-S-geranylgeranyl-L-cysteine biosynthetic process from peptidyl-cysteine
GO_0018344|protein geranylgeranylation
GO_0018229|obsolete peptidyl-L-cysteine methyl ester biosynthetic process from peptidyl-cysteine
GO_0018230|peptidyl-L-cysteine S-palmitoylation
GO_0018231|peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine
GO_0018232|peptide cross-linking via S-(L-isoglutamyl)-L-cysteine
GO_0018233|peptide cross-linking via 2'-(S-L-cysteinyl)-L-histidine
GO_0018234|peptide cross-linking via 3'-(S-L-cysteinyl)-L-tyrosine
GO_0018235|peptidyl-lysine carboxylation
GO_0018236|
GO_0046863|ribulose-1,5-bisphosphate carboxylase/oxygenase activator activity
GO_0018237|urease activator activity
GO_0018238|peptidyl-lysine carboxyethylation
GO_0018239|
GO_0018240|protein S-linked glycosylation via cysteine
GO_0018280|protein S-linked glycosylation
GO_0018241|protein O-linked glycosylation via hydroxylysine
GO_0018243|protein O-linked glycosylation via threonine
GO_0018244|protein N-linked glycosylation via tryptophan
GO_0018245|protein O-linked glycosylation via tyrosine
GO_0018246|protein-coenzyme A linkage
GO_0018247|protein-phosphoribosyl dephospho-coenzyme A linkage
GO_0018248|obsolete enzyme active site formation via peptidyl cysteine sulfation
GO_0018249|protein dehydration
GO_0018250|peptidyl-dehydroalanine biosynthetic process from peptidyl-tyrosine or peptidyl-serine
GO_0018251|peptidyl-tyrosine dehydrogenation
GO_0018252|obsolete peptide cross-linking via L-seryl-5-imidazolinone glycine
GO_0018253|peptide cross-linking via 5-imidazolinone glycine
GO_0018254|peptidyl-tyrosine adenylylation
GO_0018255|obsolete peptide cross-linking via S-glycyl-L-cysteine
GO_0018257|peptidyl-lysine formylation
GO_0018258|protein O-linked glycosylation via hydroxyproline
GO_0018259|RNA-protein covalent cross-linking via peptidyl-serine
GO_0018260|protein guanylylation
GO_0018261|peptidyl-lysine guanylylation
GO_0018263|obsolete isopeptide cross-linking via N-(L-isoaspartyl)-L-cysteine
GO_0018264|obsolete isopeptide cross-linking via N-(L-isoaspartyl)-glycine
GO_0018265|GPI anchor biosynthetic process via N-asparaginyl-glycosylphosphatidylinositolethanolamine
GO_0018266|GPI anchor biosynthetic process via N-aspartyl-glycosylphosphatidylinositolethanolamine
GO_0018267|GPI anchor biosynthetic process via N-cysteinyl-glycosylphosphatidylinositolethanolamine
GO_0018268|GPI anchor biosynthetic process via N-glycyl-glycosylphosphatidylinositolethanolamine
GO_0018269|GPI anchor biosynthetic process via N-seryl-glycosylphosphatidylinositolethanolamine
GO_0018270|GPI anchor biosynthetic process via N-alanyl-glycosylphosphatidylinositolethanolamine
GO_0018272|protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine
GO_0018352|protein-pyridoxal-5-phosphate linkage
GO_0018273|obsolete protein-chromophore linkage via peptidyl-N6-retinal-L-lysine
GO_0018274|peptide cross-linking via L-lysinoalanine
GO_0018276|obsolete isopeptide cross-linking via N6-glycyl-L-lysine
GO_0018278|N-terminal peptidyl-threonine deamination
GO_0018279|protein N-linked glycosylation via asparagine
GO_0018281|GSI anchor biosynthetic process via N-seryl-glycosylsphingolipidinositolethanolamine
GO_0042082|GSI anchor biosynthetic process
GO_0018282|metal incorporation into metallo-sulfur cluster
GO_0018283|iron incorporation into metallo-sulfur cluster
GO_0018284|iron incorporation into protein via tetrakis-L-cysteinyl iron
GO_0018285|iron incorporation into iron-sulfur cluster via tetrakis-L-cysteinyl diiron disulfide
GO_0018286|obsolete iron incorporation into iron-sulfur cluster via hexakis-L-cysteinyl triiron trisulfide
GO_0018287|iron incorporation into iron-sulfur cluster via tris-L-cysteinyl triiron tetrasulfide
